team_id,efg_pct,ts_pct,off_rating,def_rating,net_rating,pace,pie,oreb_pct,dreb_pct,tm_tov_pct,ast_to,three_point_rate,free_throw_rate
1.0,-0.21,-0.18,-0.14,0.08,-0.18,0.02,-0.15,-0.03,-0.04,-0.11,-0.08,-0.31,0.1
-0.21,1.0,0.97,0.85,0.16,0.58,-0.06,0.62,-0.05,-0.13,-0.15,0.46,0.35,-0.02
-0.18,0.97,1.0,0.89,0.15,0.61,-0.05,0.64,0.0,-0.15,-0.12,0.39,0.34,0.14
-0.14,0.85,0.89,1.0,0.21,0.65,-0.1,0.65,0.31,-0.12,-0.35,0.55,0.25,0.15
0.08,0.16,0.15,0.21,1.0,-0.6,-0.02,-0.55,0.11,-0.23,-0.08,0.12,0.15,-0.08
-0.18,0.58,0.61,0.65,-0.6,1.0,-0.07,0.95,0.17,0.08,-0.23,0.36,0.09,0.18
0.02,-0.06,-0.05,-0.1,-0.02,-0.07,1.0,-0.1,-0.06,0.2,0.14,-0.08,0.19,0.04
-0.15,0.62,0.64,0.65,-0.55,0.95,-0.1,1.0,0.11,0.04,-0.22,0.41,0.06,0.16
-0.03,-0.05,0.0,0.31,0.11,0.17,-0.06,0.11,1.0,-0.02,0.24,-0.13,-0.11,0.28
-0.04,-0.13,-0.15,-0.12,-0.23,0.08,0.2,0.04,-0.02,1.0,-0.02,-0.05,0.01,-0.12
-0.11,-0.15,-0.12,-0.35,-0.08,-0.23,0.14,-0.22,0.24,-0.02,1.0,-0.76,0.11,0.15
-0.08,0.46,0.39,0.55,0.12,0.36,-0.08,0.41,-0.13,-0.05,-0.76,1.0,0.02,-0.29
-0.31,0.35,0.34,0.25,0.15,0.09,0.19,0.06,-0.11,0.01,0.11,0.02,1.0,-0.17
0.1,-0.02,0.14,0.15,-0.08,0.18,0.04,0.16,0.28,-0.12,0.15,-0.29,-0.17,1.0
