team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating,playoff_stage
1610612737,2015-16,-0.8,0.533,0.516,0.136,0.193,0.26,16.2,Second Round
1610612738,2015-16,-6.9,0.475,0.436,0.0,0.214,0.19,-6.1,First Round
1610612766,2015-16,-9.3,0.494,0.431,0.067,0.25,0.346,-28.8,First Round
1610612739,2015-16,9.5,0.573,0.551,0.0,0.688,0.364,102.5,Champion
1610612742,2015-16,-18.7,0.511,0.39,0.019,0.125,0.258,-14.2,First Round
1610612765,2015-16,-10.1,0.559,0.474,0.0,0.16,0.143,-32.6,First Round
1610612744,2015-16,4.5,0.562,0.535,0.022,0.156,0.308,3.1,Finals
1610612745,2015-16,-19.3,0.467,0.344,0.03,0.164,0.308,-21.4,First Round
1610612754,2015-16,1.9,0.549,0.538,0.039,0.217,0.308,9.5,First Round
1610612746,2015-16,0.7,0.502,0.511,0.0,0.286,0.125,31.0,First Round
1610612763,2015-16,-23.9,0.455,0.328,0.049,0.113,0.198,-25.8,First Round
1610612748,2015-16,3.1,0.539,0.538,0.0,0.246,0.273,-2.1,Second Round
1610612760,2015-16,5.5,0.551,0.533,0.083,0.385,0.12,6.2,Conference Finals
1610612757,2015-16,-2.3,0.523,0.466,0.0,0.177,0.176,-18.8,Second Round
1610612759,2015-16,9.3,0.557,0.568,0.042,0.174,0.274,8.8,Second Round
1610612761,2015-16,-4.7,0.507,0.446,0.143,0.201,0.212,0.1,Conference Finals
1610612737,2016-17,-0.5,0.542,0.487,0.0,0.552,0.5,12.5,First Round
1610612738,2016-17,-3.1,0.566,0.482,0.051,0.141,0.175,-6.5,Conference Finals
1610612741,2016-17,-6.9,0.529,0.467,0.185,0.163,0.258,13.4,First Round
1610612739,2016-17,8.1,0.614,0.538,0.027,0.199,0.311,13.0,Finals
1610612744,2016-17,12.9,0.608,0.588,0.033,0.179,0.279,15.1,Champion
1610612745,2016-17,1.2,0.559,0.484,0.0,0.252,0.345,-34.8,Second Round
1610612754,2016-17,-4.5,0.564,0.483,0.028,0.147,0.29,-7.1,First Round
1610612746,2016-17,-1.1,0.558,0.481,0.017,0.212,0.301,1.2,First Round
1610612763,2016-17,-9.3,0.559,0.458,0.0,0.203,0.2,-21.0,First Round
1610612749,2016-17,-0.4,0.533,0.49,0.123,0.178,0.256,6.5,First Round
1610612760,2016-17,-8.7,0.525,0.477,0.043,0.231,0.452,2.6,First Round
1610612757,2016-17,-16.9,0.507,0.368,0.0,0.204,0.171,22.9,First Round
1610612759,2016-17,1.2,0.551,0.507,0.048,0.213,0.29,11.2,Conference Finals
1610612761,2016-17,-5.9,0.541,0.47,0.0,0.186,0.15,60.0,Second Round
1610612762,2016-17,-5.2,0.552,0.469,0.018,0.151,0.273,-8.7,Second Round
1610612764,2016-17,-0.3,0.549,0.501,0.0,0.172,0.268,26.7,Second Round
1610612738,2017-18,0.9,0.541,0.499,0.047,0.149,0.182,5.1,Conference Finals
1610612739,2017-18,-2.8,0.55,0.483,0.035,0.224,0.344,-2.6,Finals
1610612744,2017-18,10.7,0.581,0.572,0.188,0.266,0.225,29.3,Champion
1610612745,2017-18,1.6,0.552,0.497,0.022,0.162,0.357,6.0,Conference Finals
1610612754,2017-18,6.9,0.567,0.545,0.012,0.192,0.299,12.6,First Round
1610612748,2017-18,-10.4,0.542,0.429,0.021,0.151,0.293,1.4,First Round
1610612749,2017-18,-0.1,0.585,0.509,0.033,0.183,0.276,-0.6,First Round
1610612750,2017-18,-9.0,0.548,0.475,0.0,0.167,0.5,9.5,First Round
1610612740,2017-18,-1.4,0.562,0.504,0.0,0.286,0.444,-22.9,Second Round
1610612760,2017-18,-4.0,0.528,0.469,0.042,0.176,0.378,-7.4,First Round
1610612755,2017-18,3.9,0.539,0.532,0.0,0.167,0.25,41.7,Second Round
1610612757,2017-18,-8.4,0.539,0.426,0.0,0.364,0.19,57.1,First Round
1610612759,2017-18,-9.8,0.515,0.418,0.0,0.176,0.077,31.4,First Round
1610612761,2017-18,-4.9,0.578,0.469,0.13,0.16,0.246,3.4,Second Round
1610612762,2017-18,-1.8,0.549,0.488,0.333,0.188,0.4,100.0,Second Round
1610612764,2017-18,-1.1,0.561,0.498,0.014,0.17,0.325,-0.9,First Round
1610612738,2018-19,-1.5,0.539,0.502,0.083,0.21,0.103,10.6,Second Round
1610612751,2018-19,-10.2,0.534,0.413,0.08,0.25,0.194,36.4,First Round
1610612743,2018-19,2.2,0.539,0.518,0.092,0.202,0.262,7.1,Second Round
1610612765,2018-19,-23.8,0.471,0.354,0.0,0.222,0.375,25.8,First Round
1610612744,2018-19,3.1,0.589,0.536,0.002,0.176,0.318,9.5,Finals
1610612745,2018-19,3.0,0.574,0.497,0.2,0.368,0.25,-92.9,Second Round
