team_id,team_abbreviation,season,top1_pie,top1_ts_pct,top1_efg_pct,top1_usg_pct,top1_ast_to,top1_stl,top1_blk,top1_def_rating,top1_net_rating,top1_oreb_pct,top1_dreb_pct
1610612737,ATL,2015-16,0.193,0.604,0.554,0.26,2.0,0.5,1.3,98.2,16.2,0.136,0.0
1610612737,ATL,2016-17,0.552,1.031,1.167,0.5,0.0,0.0,0.0,100.0,12.5,0.0,0.0
1610612737,ATL,2020-21,0.286,0.8,0.8,0.133,1.0,0.3,0.0,81.1,-6.1,0.0,0.105
1610612737,ATL,2021-22,0.418,0.926,0.909,0.652,0.0,1.0,0.0,100.0,22.7,0.0,0.333
1610612737,ATL,2022-23,0.132,0.538,0.515,0.244,3.4,2.0,0.2,119.4,-8.1,0.04,0.155
1610612738,BOS,2015-16,0.214,0.5,0.5,0.19,0.0,0.0,0.5,89.5,-6.1,0.0,0.083
1610612738,BOS,2016-17,0.141,0.668,0.655,0.175,2.94,0.8,0.8,116.3,-6.5,0.051,0.151
1610612738,BOS,2017-18,0.149,0.631,0.581,0.182,1.97,1.0,1.2,103.7,5.1,0.047,0.193
1610612738,BOS,2018-19,0.21,0.694,0.5,0.103,0.0,0.0,0.0,93.1,10.6,0.083,0.316
1610612738,BOS,2019-20,0.5,0.798,1.0,0.286,0.0,0.0,0.0,114.3,-14.3,0.0,0.25
1610612738,BOS,2020-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.5
1610612738,BOS,2021-22,0.214,1.0,1.0,0.125,0.0,0.0,0.0,54.5,35.5,0.0,0.105
1610612738,BOS,2022-23,0.174,0.957,0.938,0.11,0.0,0.0,0.1,114.9,4.5,0.139,0.2
1610612738,BOS,2023-24,0.214,0.667,0.667,0.103,0.0,0.0,0.3,55.6,40.7,0.083,0.111
1610612738,BOS,2024-25,0.262,0.833,0.833,0.182,0.0,0.3,0.0,107.7,-30.8,0.105,0.0
1610612739,CLE,2015-16,0.688,1.125,1.125,0.364,0.0,0.0,0.0,37.5,102.5,0.0,0.0
1610612739,CLE,2016-17,0.199,0.649,0.622,0.311,1.96,1.9,1.3,109.9,13.0,0.027,0.189
1610612739,CLE,2017-18,0.224,0.619,0.577,0.344,2.11,1.4,1.0,112.3,-2.6,0.035,0.194
1610612739,CLE,2022-23,0.344,1.031,1.0,0.333,0.0,0.0,0.0,71.4,21.4,0.25,0.0
1610612739,CLE,2023-24,0.213,0.702,0.676,0.189,1.0,1.3,1.0,108.0,-4.9,0.122,0.313
1610612739,CLE,2024-25,0.212,0.68,0.633,0.282,3.5,0.5,0.3,75.0,46.0,0.115,0.108
1610612740,NOP,2017-18,0.286,0.731,0.731,0.444,0.33,0.5,0.0,105.7,-22.9,0.0,0.25
1610612740,NOP,2021-22,0.147,0.548,0.493,0.222,1.5,0.7,0.2,121.1,-4.7,0.191,0.368
1610612740,NOP,2023-24,0.158,0.586,0.524,0.28,0.5,0.5,0.0,116.5,-20.4,0.176,0.302
1610612741,CHI,2015-16,0.214,1.0,1.0,0.333,0.0,0.0,0.0,175.0,-41.7,0.0,0.0
1610612741,CHI,2016-17,0.163,0.513,0.364,0.258,2.5,0.0,0.0,92.3,13.4,0.185,0.0
1610612741,CHI,2021-22,0.492,1.0,1.0,0.238,0.0,0.0,0.0,63.2,52.6,0.0,0.267
1610612742,DAL,2015-16,0.125,0.564,0.518,0.258,1.14,0.4,0.6,120.4,-14.2,0.019,0.123
1610612742,DAL,2019-20,0.189,0.596,0.563,0.365,1.68,1.2,0.5,118.2,-9.1,0.018,0.243
1610612742,DAL,2020-21,0.186,0.572,0.569,0.391,2.25,1.3,0.4,117.9,0.4,0.014,0.209
1610612742,DAL,2021-22,0.204,0.577,0.527,0.396,1.63,1.8,0.6,111.4,2.7,0.019,0.259
1610612742,DAL,2023-24,0.177,0.556,0.514,0.324,1.98,1.9,0.4,109.4,4.3,0.018,0.211
