team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating
1610612737,2015-16,3.9,0.552,0.528,0.075,0.141,0.238,4.0
1610612738,2015-16,3.3,0.531,0.52,0.016,0.142,0.289,5.0
1610612751,2015-16,-7.4,0.527,0.46,0.086,0.127,0.272,-2.4
1610612766,2015-16,2.7,0.545,0.511,0.0,0.143,0.148,4.4
1610612741,2015-16,-1.4,0.526,0.494,0.065,0.165,0.244,-0.2
1610612739,2015-16,6.3,0.558,0.528,0.042,0.189,0.305,11.4
1610612742,2015-16,-0.4,0.544,0.503,0.108,0.138,0.21,-4.0
1610612743,2015-16,-3.3,0.531,0.479,0.099,0.145,0.194,2.4
1610612765,2015-16,0.3,0.522,0.486,0.135,0.14,0.239,2.4
1610612744,2015-16,10.6,0.593,0.567,0.026,0.197,0.314,17.7
1610612745,2015-16,0.0,0.553,0.49,0.019,0.174,0.319,1.6
1610612754,2015-16,1.6,0.536,0.518,0.027,0.151,0.296,2.8
1610612746,2015-16,4.5,0.556,0.533,0.017,0.184,0.265,11.0
1610612747,2015-16,-9.7,0.509,0.424,0.069,0.11,0.209,-14.1
1610612763,2015-16,-2.4,0.524,0.483,0.0,0.162,0.133,23.7
1610612748,2015-16,1.7,0.545,0.525,0.116,0.172,0.201,1.9
1610612749,2015-16,-4.5,0.537,0.483,0.099,0.146,0.231,-2.4
1610612750,2015-16,-3.5,0.549,0.497,0.092,0.154,0.243,-2.5
1610612740,2015-16,-3.7,0.537,0.472,0.059,0.165,0.29,-4.1
1610612752,2015-16,-2.8,0.527,0.487,0.039,0.143,0.291,-0.9
1610612760,2015-16,7.4,0.565,0.546,0.018,0.194,0.298,11.6
1610612753,2015-16,-1.6,0.533,0.488,0.084,0.14,0.265,-1.2
1610612755,2015-16,-10.2,0.519,0.428,0.081,0.133,0.236,-9.3
1610612756,2015-16,-6.5,0.526,0.45,0.016,0.139,0.27,-1.7
1610612757,2015-16,0.8,0.548,0.493,0.016,0.143,0.304,1.6
1610612758,2015-16,-2.3,0.546,0.494,0.07,0.156,0.351,1.3
1610612759,2015-16,11.1,0.564,0.578,0.154,0.181,0.22,4.5
1610612761,2015-16,4.4,0.552,0.525,0.02,0.145,0.256,6.4
1610612762,2015-16,1.8,0.54,0.508,0.089,0.14,0.234,2.3
1610612764,2015-16,-0.5,0.544,0.497,0.015,0.144,0.28,1.7
1610612737,2016-17,-0.7,0.541,0.506,0.133,0.151,0.19,-2.0
1610612738,2016-17,2.6,0.567,0.514,0.0,0.194,0.159,-3.3
1610612751,2016-17,-6.5,0.551,0.46,0.012,0.131,0.255,-4.7
1610612766,2016-17,0.0,0.547,0.505,0.016,0.137,0.286,3.5
1610612741,2016-17,0.3,0.53,0.504,0.044,0.164,0.261,3.3
1610612739,2016-17,3.1,0.58,0.51,0.036,0.183,0.292,8.3
1610612742,2016-17,-3.0,0.541,0.479,0.012,0.134,0.254,-0.9
1610612743,2016-17,0.4,0.568,0.503,0.106,0.167,0.231,6.5
1610612765,2016-17,-1.4,0.521,0.482,0.145,0.196,0.239,4.8
1610612744,2016-17,11.4,0.597,0.579,0.02,0.186,0.271,15.7
1610612745,2016-17,5.7,0.583,0.516,0.031,0.19,0.333,6.7
1610612754,2016-17,-0.2,0.558,0.505,0.023,0.136,0.287,3.1
1610612746,2016-17,4.4,0.574,0.527,0.022,0.182,0.239,14.4
1610612747,2016-17,-6.7,0.537,0.446,0.14,0.114,0.2,-7.2
1610612763,2016-17,0.5,0.535,0.501,0.014,0.16,0.256,3.4
1610612748,2016-17,1.0,0.541,0.5,0.115,0.163,0.223,2.0
1610612749,2016-17,-0.2,0.565,0.504,0.052,0.176,0.28,1.1
1610612750,2016-17,-0.9,0.555,0.501,0.101,0.17,0.271,-0.3
1610612740,2016-17,-2.1,0.539,0.493,0.062,0.192,0.321,1.1
1610612752,2016-17,-3.6,0.534,0.482,0.123,0.133,0.199,-1.1
1610612760,2016-17,0.8,0.54,0.499,0.046,0.23,0.402,4.5
1610612753,2016-17,-6.5,0.524,0.46,0.077,0.142,0.241,-3.5
1610612755,2016-17,-5.5,0.539,0.47,0.08,0.174,0.356,4.1
1610612756,2016-17,-5.2,0.538,0.462,0.023,0.141,0.275,-3.8
1610612757,2016-17,-0.6,0.559,0.493,0.017,0.159,0.304,1.4
1610612758,2016-17,-4.2,0.556,0.478,0.034,0.125,0.246,2.3
1610612759,2016-17,7.4,0.564,0.551,0.034,0.174,0.306,8.7
1610612761,2016-17,4.3,0.561,0.516,0.027,0.155,0.337,2.5
1610612762,2016-17,4.3,0.563,0.534,0.124,0.161,0.166,8.3
1610612764,2016-17,1.7,0.564,0.511,0.021,0.153,0.299,4.2
1610612737,2017-18,-5.7,0.547,0.468,0.065,0.119,0.166,-5.1
1610612738,2017-18,3.6,0.552,0.519,0.017,0.165,0.298,5.6
1610612751,2017-18,-3.6,0.551,0.474,0.05,0.119,0.217,-3.7
1610612766,2017-18,-0.1,0.549,0.5,0.101,0.136,0.238,1.4
1610612741,2017-18,-7.0,0.529,0.453,0.089,0.133,0.25,-2.1
1610612739,2017-18,1.0,0.584,0.502,0.033,0.191,0.31,1.6
1610612742,2017-18,-2.9,0.544,0.475,0.138,0.151,0.234,-7.4
1610612743,2017-18,1.4,0.57,0.511,0.081,0.169,0.238,6.2
1610612765,2017-18,-0.1,0.543,0.489,0.145,0.156,0.207,-1.0
1610612744,2017-18,5.9,0.603,0.554,0.015,0.168,0.293,7.0
1610612745,2017-18,8.4,0.59,0.531,0.017,0.194,0.353,10.0
1610612754,2017-18,1.3,0.557,0.509,0.0,0.235,0.2,-120.0
1610612746,2017-18,0.2,0.564,0.497,0.151,0.166,0.276,6.3
1610612747,2017-18,-1.3,0.548,0.491,0.082,0.135,0.251,-1.4
1610612763,2017-18,-6.8,0.539,0.46,0.182,0.25,0.25,30.9
1610612748,2017-18,0.4,0.551,0.505,0.121,0.176,0.235,-2.8
1610612749,2017-18,-0.2,0.571,0.502,0.06,0.186,0.307,2.8
1610612750,2017-18,2.3,0.566,0.518,0.0,0.229,0.1,30.0
1610612740,2017-18,1.1,0.573,0.525,0.07,0.188,0.291,5.0
1610612752,2017-18,-3.4,0.544,0.481,0.146,0.161,0.212,-4.9
1610612760,2017-18,3.7,0.546,0.508,0.0,0.186,0.2,-22.8
1610612753,2017-18,-4.7,0.545,0.472,0.059,0.139,0.252,-1.3
1610612755,2017-18,4.6,0.568,0.542,0.078,0.177,0.33,11.7
1610612756,2017-18,-9.0,0.532,0.442,0.116,0.129,0.164,-8.6
1610612757,2017-18,2.7,0.549,0.51,0.022,0.165,0.295,6.1
1610612758,2017-18,-7.3,0.529,0.451,0.131,0.143,0.185,-4.6
1610612759,2017-18,3.0,0.543,0.525,0.029,0.182,0.304,3.9
1610612761,2017-18,7.7,0.575,0.538,0.106,0.151,0.222,5.6
1610612762,2017-18,4.4,0.564,0.532,0.0,0.6,0.5,250.0
1610612764,2017-18,0.4,0.56,0.509,0.016,0.13,0.281,3.8
1610612737,2018-19,-5.5,0.555,0.464,0.112,0.136,0.23,-1.4
1610612738,2018-19,4.3,0.567,0.53,0.031,0.157,0.286,6.2
1610612751,2018-19,-0.1,0.556,0.492,0.114,0.274,0.222,27.1
1610612766,2018-19,-1.3,0.554,0.486,0.017,0.14,0.308,0.4
1610612741,2018-19,-8.3,0.541,0.453,0.037,0.162,0.234,-2.3
1610612739,2018-19,-10.0,0.54,0.436,0.051,0.148,0.259,-4.2
1610612742,2018-19,-1.5,0.555,0.492,0.036,0.149,0.296,-3.1
1610612743,2018-19,4.0,0.558,0.524,0.089,0.188,0.271,5.8
1610612765,2018-19,-0.3,0.544,0.482,0.0,0.471,0.154,-25.0
1610612744,2018-19,6.5,0.596,0.546,0.013,0.162,0.283,11.4
1610612745,2018-19,4.8,0.581,0.498,0.0,0.333,0.333,-66.7
1610612754,2018-19,3.4,0.561,0.527,0.099,0.162,0.226,5.2
1610612746,2018-19,1.0,0.575,0.505,0.019,0.147,0.308,3.9
1610612747,2018-19,-1.6,0.554,0.495,0.029,0.188,0.311,2.0
1610612763,2018-19,-2.4,0.548,0.49,0.096,0.169,0.274,2.7
1610612748,2018-19,-0.4,0.542,0.501,0.139,0.162,0.215,0.7
1610612749,2018-19,8.6,0.583,0.553,0.066,0.218,0.314,12.5
1610612750,2018-19,-1.6,0.552,0.498,0.097,0.177,0.28,0.9
1610612740,2018-19,-1.3,0.563,0.498,0.089,0.197,0.288,3.4
1610612752,2018-19,-8.9,0.529,0.442,0.105,0.154,0.148,-5.1
1610612760,2018-19,3.4,0.545,0.506,0.5,1.0,0.333,0.0
1610612753,2018-19,0.6,0.55,0.508,0.071,0.218,0.216,25.0
1610612755,2018-19,2.6,0.574,0.529,0.075,0.196,0.327,7.6
1610612756,2018-19,-8.9,0.552,0.45,0.101,0.139,0.21,-8.1
1610612757,2018-19,4.2,0.568,0.521,0.023,0.155,0.281,8.2
1610612758,2018-19,-1.2,0.554,0.495,0.092,0.124,0.237,-3.2
1610612759,2018-19,1.6,0.572,0.516,0.096,0.143,0.268,1.5
1610612761,2018-19,5.8,0.579,0.533,0.039,0.172,0.3,7.9
1610612762,2018-19,5.0,0.572,0.539,0.117,0.17,0.175,6.9
1610612764,2018-19,-2.7,0.567,0.487,0.067,0.212,0.214,25.8
1610612737,2019-20,-7.4,0.554,0.454,0.014,0.16,0.339,-4.9
1610612738,2019-20,6.3,0.57,0.531,0.036,0.241,0.25,12.7
1610612751,2019-20,-0.5,0.554,0.5,0.105,0.168,0.136,-1.8
1610612766,2019-20,-7.0,0.539,0.455,0.105,0.144,0.222,-2.6
1610612741,2019-20,-3.1,0.547,0.466,0.019,0.13,0.312,-4.4
1610612739,2019-20,-7.9,0.553,0.453,0.0,0.308,0.0,57.1
1610612742,2019-20,4.8,0.581,0.521,0.036,0.194,0.355,5.3
1610612743,2019-20,2.2,0.567,0.517,0.073,0.179,0.266,4.5
1610612765,2019-20,-3.5,0.561,0.473,0.079,0.153,0.223,2.0
