player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,team_count,season
1626151,Aaron Harrison,Aaron,1610612766,CHA,21.0,2,1,1,0.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-3.5,0.6,0,0,0.5,1,2015-16
201143,Al Horford,Al,1610612737,ATL,30.0,10,4,6,0.4,32.7,5.4,11.6,0.466,1.1,2.8,0.393,1.5,1.6,0.938,1.3,5.2,6.5,3.1,1.7,1.2,2.4,0.3,2.5,2.0,13.4,-3.8,35.0,1,0,31.3,1,2015-16
2744,Al Jefferson,Al,1610612766,CHA,31.0,7,3,4,0.429,24.1,6.0,11.9,0.506,0.0,0.0,0.0,1.3,1.9,0.692,2.0,4.1,6.1,1.1,0.9,0.6,0.4,1.0,1.7,1.4,13.3,-9.1,24.5,0,0,22.6,1,2015-16
202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,25.0,11,5,6,0.455,33.8,5.1,11.6,0.438,2.5,6.4,0.4,1.9,2.6,0.724,2.1,6.5,8.6,1.8,1.9,0.7,0.9,0.5,2.8,1.9,14.6,-1.1,30.7,4,0,30.9,1,2015-16
203459,Allen Crabbe,Allen,1610612757,POR,24.0,11,5,6,0.455,27.5,3.5,6.6,0.521,1.4,3.2,0.429,1.3,1.7,0.737,0.5,2.5,2.9,1.4,0.5,0.6,0.1,0.1,2.1,2.0,9.5,-1.9,16.7,0,0,16.6,1,2015-16
2405,Amar'e Stoudemire,Amar'e,1610612748,MIA,33.0,9,4,5,0.444,9.1,1.2,2.1,0.579,0.0,0.0,0.0,0.9,0.9,1.0,0.3,1.1,1.4,0.0,1.0,0.6,0.3,0.0,1.6,0.8,3.3,-2.0,6.7,0,0,6.6,1,2015-16
101161,Amir Johnson,Amir,1610612738,BOS,29.0,6,2,4,0.333,22.3,3.7,5.5,0.667,0.0,0.3,0.0,1.2,1.5,0.778,1.8,5.3,7.2,0.7,1.7,0.2,1.3,0.7,2.2,1.2,8.5,-3.7,20.9,0,0,19.3,1,2015-16
2760,Anderson Varejao,Anderson,1610612744,GSW,33.0,17,11,6,0.647,5.5,0.3,0.8,0.357,0.0,0.0,0.0,0.6,1.1,0.526,0.7,0.5,1.2,0.8,0.1,0.1,0.1,0.1,1.0,1.3,1.2,1.1,4.4,0,0,3.6,1,2015-16
203083,Andre Drummond,Andre,1610612765,DET,22.0,4,0,4,0.0,32.9,7.0,13.5,0.519,0.0,0.3,0.0,2.8,8.5,0.324,3.0,6.0,9.0,0.0,1.0,0.3,1.5,0.3,2.0,7.5,16.8,-2.5,31.8,2,0,29.3,1,2015-16
2738,Andre Iguodala,Andre,1610612744,GSW,32.0,24,15,9,0.625,32.0,3.3,6.8,0.476,1.0,2.7,0.385,1.3,2.4,0.561,1.5,2.9,4.4,3.8,1.0,1.2,0.4,0.3,1.5,2.3,8.9,2.6,23.7,1,0,21.3,1,2015-16
1889,Andre Miller,Andre,1610612759,SAS,40.0,5,3,2,0.6,7.0,0.6,1.4,0.429,0.2,0.6,0.333,0.4,0.4,1.0,0.4,0.6,1.0,1.4,0.0,0.0,0.0,0.2,0.8,0.2,1.8,1.4,5.1,0,0,4.4,1,2015-16
203460,Andre Roberson,Andre,1610612760,OKC,24.0,18,11,7,0.611,26.2,2.2,4.8,0.465,0.7,2.1,0.324,0.4,1.1,0.4,1.4,4.2,5.6,0.8,0.6,1.3,1.1,0.3,2.5,0.9,5.6,2.4,19.8,1,0,17.3,1,2015-16
101106,Andrew Bogut,Andrew,1610612744,GSW,31.0,22,15,7,0.682,16.6,2.2,3.5,0.623,0.0,0.1,0.0,0.2,0.6,0.357,2.1,3.5,5.7,1.4,0.9,0.6,1.6,0.3,3.3,0.9,4.6,1.5,19.3,2,0,16.1,1,2015-16
202726,Andrew Goudelock,Andrew,1610612745,HOU,27.0,2,0,2,0.0,5.7,1.5,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,2.7,0,0,4.0,1,2015-16
201627,Anthony Morrow,Anthony,1610612760,OKC,30.0,14,8,6,0.571,5.4,0.8,1.7,0.458,0.4,1.0,0.357,0.7,0.7,1.0,0.0,0.1,0.1,0.1,0.3,0.1,0.0,0.0,0.4,0.4,2.6,0.1,2.9,0,0,3.4,1,2015-16
201229,Anthony Tolliver,Anthony,1610612765,DET,31.0,3,0,3,0.0,8.7,0.7,1.3,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,1.3,-5.7,4.4,0,0,3.7,1,2015-16
203382,Aron Baynes,Aron,1610612765,DET,29.0,4,0,4,0.0,11.0,1.0,2.3,0.444,0.0,0.0,0.0,0.5,0.8,0.667,0.8,1.3,2.0,0.5,0.8,0.0,0.0,0.5,1.0,1.0,2.5,-8.0,4.9,0,0,5.0,1,2015-16
203085,Austin Rivers,Austin,1610612746,LAC,23.0,6,2,4,0.333,24.0,4.3,10.2,0.426,0.7,2.8,0.235,1.0,1.5,0.667,0.7,2.0,2.7,2.7,1.2,0.5,0.0,0.2,2.0,1.8,10.3,-3.7,17.9,0,0,17.3,1,2015-16
202340,Avery Bradley,Avery,1610612738,BOS,25.0,1,0,1,0.0,33.2,7.0,16.0,0.438,1.0,7.0,0.143,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,18.0,0.0,28.1,0,0,27.0,1,2015-16
202687,Bismack Biyombo,Bismack,1610612761,TOR,23.0,20,10,10,0.5,25.3,2.0,3.5,0.58,0.0,0.0,0.0,2.2,3.6,0.597,2.7,6.7,9.4,0.4,1.1,0.4,1.4,0.4,2.4,3.2,6.2,-1.7,22.2,3,0,19.4,1,2015-16
201933,Blake Griffin,Blake,1610612746,LAC,27.0,4,2,2,0.5,31.7,5.0,13.3,0.377,0.3,0.5,0.5,4.8,6.3,0.76,1.8,7.0,8.8,4.0,2.3,0.8,0.5,1.3,2.3,4.5,15.0,1.5,33.0,1,0,30.5,1,2015-16
1626246,Boban Marjanovic,Boban,1610612759,SAS,27.0,7,4,3,0.571,6.0,1.1,1.7,0.667,0.0,0.0,0.0,1.1,1.3,0.889,0.6,1.4,2.0,0.4,0.4,0.0,0.3,0.0,1.4,0.7,3.4,0.1,6.9,0,0,6.4,1,2015-16
2564,Boris Diaw,Boris,1610612759,SAS,34.0,9,6,3,0.667,17.6,2.3,5.1,0.457,0.2,0.7,0.333,0.3,0.4,0.75,0.2,1.9,2.1,2.3,0.7,0.2,0.4,0.4,1.0,1.1,5.2,4.3,12.6,0,0,11.2,1,2015-16
201575,Brandon Rush,Brandon,1610612744,GSW,30.0,14,8,6,0.571,7.9,0.6,1.4,0.45,0.3,0.9,0.333,0.1,0.1,0.5,0.0,1.6,1.6,0.2,0.1,0.1,0.1,0.0,0.6,0.2,1.6,-0.1,4.7,0,0,4.4,1,2015-16
203148,Brian Roberts,Brian,1610612757,POR,30.0,10,4,6,0.4,3.6,0.2,0.9,0.222,0.0,0.4,0.0,0.4,0.6,0.667,0.1,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.5,0.4,0.8,1.8,1.3,0,0,1.2,1,2015-16
1627362,Briante Weber,Briante,1610612748,MIA,23.0,2,1,1,0.5,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,4.0,2.3,0,0,1.5,1,2015-16
203912,C.J. Wilcox,C.J.,1610612746,LAC,25.0,2,0,2,0.0,3.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.5,1.4,0,0,1.0,1,2015-16
203468,CJ McCollum,CJ,1610612757,POR,24.0,11,5,6,0.455,40.2,7.6,17.9,0.426,1.8,5.3,0.345,3.4,4.2,0.804,0.6,3.0,3.6,3.3,1.8,0.9,0.5,0.6,2.7,3.4,20.5,0.5,32.0,0,0,31.9,1,2015-16
101139,CJ Miles,CJ,1610612754,IND,29.0,7,3,4,0.429,13.1,1.4,5.4,0.263,0.3,2.9,0.1,0.3,0.4,0.667,0.6,2.9,3.4,0.6,0.4,0.1,0.1,0.4,1.0,0.1,3.4,-2.6,8.8,0,0,8.3,1,2015-16
1626166,Cameron Payne,Cameron,1610612760,OKC,21.0,10,7,3,0.7,6.4,0.7,2.6,0.269,0.2,1.0,0.2,0.2,0.4,0.5,0.0,0.4,0.4,0.8,0.8,0.2,0.2,0.2,0.7,0.4,1.8,-3.2,3.9,0,0,4.0,1,2015-16
