team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,season,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie
1610612737,Atlanta Hawks,82,48,34,0.585,48.4,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,2015-16,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528
1610612738,Boston Celtics,82,48,34,0.585,48.2,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,2015-16,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52
1610612751,Brooklyn Nets,82,21,61,0.256,48.2,38.2,84.4,0.453,6.5,18.4,0.352,15.7,20.7,0.757,10.5,31.9,42.4,22.3,14.8,7.6,4.0,5.2,18.0,18.4,98.6,-7.4,2015-16,100.9,102.4,108.5,109.7,-7.6,-7.4,0.583,1.51,17.0,0.279,0.716,0.494,0.153,0.492,0.527,97.4,96.12,80.1,7903,0.46
1610612766,Charlotte Hornets,82,48,34,0.585,48.4,37.0,84.4,0.439,10.6,29.4,0.362,18.7,23.7,0.79,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,103.4,2.7,2015-16,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511
1610612741,Chicago Bulls,82,42,40,0.512,48.5,38.6,87.4,0.441,7.9,21.4,0.371,16.5,21.0,0.787,11.1,35.2,46.3,22.8,13.9,6.0,5.7,5.7,18.8,18.7,101.6,-1.5,2015-16,102.1,104.1,103.9,105.5,-1.8,-1.4,0.591,1.64,17.0,0.29,0.714,0.506,0.142,0.487,0.526,98.2,96.6,80.5,8008,0.494
1610612739,Cleveland Cavaliers,82,57,25,0.695,48.4,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,2015-16,108.1,110.2,102.3,103.9,5.8,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,95.5,93.82,78.19,7764,0.528
1610612742,Dallas Mavericks,82,42,40,0.512,48.8,37.4,84.1,0.444,9.8,28.6,0.344,17.7,22.3,0.794,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,102.3,-0.3,2015-16,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503
1610612743,Denver Nuggets,82,33,49,0.402,48.4,37.7,85.4,0.442,8.0,23.7,0.338,18.5,24.1,0.766,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21.0,20.9,101.9,-3.1,2015-16,102.7,104.9,106.4,108.2,-3.7,-3.3,0.601,1.55,16.9,0.304,0.732,0.513,0.151,0.489,0.531,98.2,96.34,80.28,7963,0.479
1610612765,Detroit Pistons,82,44,38,0.537,48.5,37.9,86.4,0.439,9.0,26.2,0.345,17.1,25.5,0.668,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,19.0,21.6,102.0,0.6,2015-16,103.3,105.3,103.4,104.9,-0.2,0.3,0.512,1.44,14.8,0.313,0.753,0.521,0.14,0.491,0.522,97.4,95.75,79.79,7942,0.486
1610612744,Golden State Warriors,82,73,9,0.89,48.5,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,0.763,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,114.9,10.8,2015-16,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567
1610612745,Houston Rockets,82,41,41,0.5,48.4,37.7,83.5,0.452,10.7,30.9,0.347,20.4,29.4,0.694,11.3,31.7,43.1,22.2,15.9,10.0,5.2,4.9,21.8,22.5,106.5,0.2,2015-16,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49
1610612754,Indiana Pacers,82,45,37,0.549,48.5,38.3,85.2,0.45,8.1,23.0,0.351,17.4,22.8,0.764,10.3,33.9,44.2,21.2,14.9,9.0,4.8,4.5,20.0,20.4,102.2,1.7,2015-16,102.4,103.8,100.2,102.2,2.2,1.6,0.554,1.43,16.1,0.271,0.714,0.494,0.151,0.497,0.536,99.0,97.35,81.13,8068,0.518
1610612746,LA Clippers,82,53,29,0.646,48.4,38.3,82.4,0.465,9.7,26.7,0.364,18.2,26.2,0.692,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,21.3,22.5,104.5,4.3,2015-16,106.5,107.2,100.9,102.7,5.5,4.5,0.596,1.76,17.4,0.234,0.697,0.472,0.133,0.524,0.556,98.0,96.81,80.68,7995,0.533
1610612747,Los Angeles Lakers,82,17,65,0.207,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,10.7,32.3,43.0,18.0,13.7,7.2,4.1,5.6,20.3,19.2,97.3,-9.6,2015-16,98.6,100.7,109.3,110.3,-10.7,-9.7,0.513,1.31,14.1,0.271,0.712,0.484,0.142,0.46,0.509,98.0,96.55,80.46,7930,0.424
1610612763,Memphis Grizzlies,82,42,40,0.512,48.4,36.8,83.6,0.44,6.1,18.5,0.331,19.3,24.7,0.783,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,99.1,-2.2,2015-16,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483
1610612748,Miami Heat,82,48,34,0.585,48.4,38.4,81.7,0.47,6.1,18.0,0.336,17.1,23.0,0.744,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,100.0,1.6,2015-16,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525
