PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
1626151,Aaron Harrison,Aaron,1610612766,CHA,21.0,2,1,1,0.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-3.5,0.6,0,0,0.5,197,148,206,60,198,207,214,207,147,170,147,179,184,179,176,184,192,194,188,172,143,155,178,191,207,158,212,49,4,213,1,2015-16
201143,Al Horford,Al,1610612737,ATL,30.0,10,4,6,0.4,32.7,5.4,11.6,0.466,1.1,2.8,0.393,1.5,1.6,0.938,1.3,5.2,6.5,3.1,1.7,1.2,2.4,0.3,2.5,2.0,13.4,-3.8,35.0,1,0,31.3,61,75,33,121,44,34,41,75,48,59,49,64,85,30,51,25,29,31,40,30,4,99,54,65,38,164,22,30,4,23,1,2015-16
2744,Al Jefferson,Al,1610612766,CHA,31.0,7,3,4,0.429,24.1,6.0,11.9,0.506,0.0,0.0,0.0,1.3,1.9,0.692,2.0,4.1,6.1,1.1,0.9,0.6,0.4,1.0,1.7,1.4,13.3,-9.1,24.5,0,0,22.6,92,92,75,104,87,26,38,45,147,170,147,78,77,113,21,42,35,94,97,87,66,19,115,95,39,197,51,49,4,52,1,2015-16
202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,25.0,11,5,6,0.455,33.8,5.1,11.6,0.438,2.5,6.4,0.4,1.9,2.6,0.724,2.1,6.5,8.6,1.8,1.9,0.7,0.9,0.5,2.8,1.9,14.6,-1.1,30.7,4,0,30.9,52,63,33,90,33,39,40,104,8,12,45,56,59,107,20,13,17,62,34,66,28,75,34,78,31,115,32,8,4,25,1,2015-16
203459,Allen Crabbe,Allen,1610612757,POR,24.0,11,5,6,0.455,27.5,3.5,6.6,0.521,1.4,3.2,0.429,1.3,1.7,0.737,0.5,2.5,2.9,1.4,0.5,0.6,0.1,0.1,2.1,2.0,9.5,-1.9,16.7,0,0,16.6,52,63,33,90,69,69,88,43,36,51,36,79,82,104,125,99,109,82,139,75,137,151,84,65,67,129,93,49,4,84,1,2015-16
2405,Amar'e Stoudemire,Amar'e,1610612748,MIA,33.0,9,4,5,0.444,9.1,1.2,2.1,0.579,0.0,0.0,0.0,0.9,0.9,1.0,0.3,1.1,1.4,0.0,1.0,0.6,0.3,0.0,1.6,0.8,3.3,-2.0,6.7,0,0,6.6,84,75,60,99,157,148,166,25,147,170,147,105,127,1,137,155,153,194,75,90,79,155,126,136,149,130,149,49,4,150,1,2015-16
101161,Amir Johnson,Amir,1610612738,BOS,29.0,6,2,4,0.333,22.3,3.7,5.5,0.667,0.0,0.3,0.0,1.2,1.5,0.778,1.8,5.3,7.2,0.7,1.7,0.2,1.3,0.7,2.2,1.2,8.5,-3.7,20.9,0,0,19.3,109,122,75,135,96,63,103,12,147,152,147,87,89,83,29,24,22,129,41,156,13,44,80,108,79,160,64,49,4,67,1,2015-16
2760,Anderson Varejao,Anderson,1610612744,GSW,33.0,17,11,6,0.647,5.5,0.3,0.8,0.357,0.0,0.0,0.0,0.6,1.1,0.526,0.7,0.5,1.2,0.8,0.1,0.1,0.1,0.1,1.0,1.3,1.2,1.1,4.4,0,0,3.6,34,19,33,23,181,199,203,161,147,170,147,130,109,152,91,183,163,119,182,167,128,141,153,101,191,64,173,49,4,179,1,2015-16
203083,Andre Drummond,Andre,1610612765,DET,22.0,4,0,4,0.0,32.9,7.0,13.5,0.519,0.0,0.3,0.0,2.8,8.5,0.324,3.0,6.0,9.0,0.0,1.0,0.3,1.5,0.3,2.0,7.5,16.8,-2.5,31.8,2,0,29.3,158,179,75,179,43,19,28,44,147,158,147,36,4,175,9,18,12,194,75,138,8,109,87,2,23,140,28,18,4,32,1,2015-16
2738,Andre Iguodala,Andre,1610612744,GSW,32.0,24,15,9,0.625,32.0,3.3,6.8,0.476,1.0,2.7,0.385,1.3,2.4,0.561,1.5,2.9,4.4,3.8,1.0,1.2,0.4,0.3,1.5,2.3,8.9,2.6,23.7,1,0,21.3,1,7,9,24,49,76,86,65,52,63,54,75,62,147,39,76,63,25,89,29,70,103,129,57,74,39,53,30,4,57,1,2015-16
