feature,importance
pie,0.16485903855617642
off_rating,0.12082940289497131
def_rating,0.1025412764640417
ts_pct,0.07515773911338698
efg_pct,0.06854820087816703
pace,0.06603759792919789
three_point_rate,0.06289118347663378
ast_to,0.0518563796306168
dreb_pct,0.042477336784410624
top1_def_rating,0.040602240772855784
oreb_pct,0.040487909690102165
free_throw_rate,0.03735658202116079
tm_tov_pct,0.02833730507717258
top1_pie,0.027978411003343542
top1_efg_pct,0.024614628342870436
top1_usg_pct,0.02323908225427533
top1_net_rating,0.022185685110616825
